Date,Born,Died
01-10-2019,1223,1724
02-10-2019,1037,1534
03-10-2019,995,1495
04-10-2019,968,1578
05-10-2019,729,1533
06-10-2019,663,1460
07-10-2019,910,1512
08-10-2019,1043,1605
09-10-2019,983,1596
10-10-2019,1015,1554
11-10-2019,1022,1608
12-10-2019,694,1521
13-10-2019,615,1580
14-10-2019,640,1694
15-10-2019,888,1573
16-10-2019,960,1558
17-10-2019,1017,1442
18-10-2019,957,1524
19-10-2019,636,1473
20-10-2019,624,1507
21-10-2019,808,1585
22-10-2019,953,1585
23-10-2019,860,1564
24-10-2019,922,1542
25-10-2019,923,1515
26-10-2019,602,1549
27-10-2019,594,1593
28-10-2019,824,1574
29-10-2019,941,1479
30-10-2019,851,1607
31-10-2019,859,1481
01-11-2019,906,1641
02-11-2019,610,1619
03-11-2019,548,1629
04-11-2019,820,1741
05-11-2019,937,1716
06-11-2019,894,1675
07-11-2019,916,1588
08-11-2019,918,1534
09-11-2019,574,1551
10-11-2019,594,1498
11-11-2019,868,1584
12-11-2019,961,1528
13-11-2019,841,1488
14-11-2019,937,1469
15-11-2019,870,1463
16-11-2019,599,1468
17-11-2019,592,1498
18-11-2019,778,1557
19-11-2019,932,1613
20-11-2019,885,1491
21-11-2019,835,1555
22-11-2019,902,1489
23-11-2019,610,1615
24-11-2019,577,1526
25-11-2019,854,1668
26-11-2019,934,1573
27-11-2019,904,1631
28-11-2019,877,1593
29-11-2019,848,1623
30-11-2019,640,1518
01-12-2019,609,1730
02-12-2019,736,1625
03-12-2019,902,1572
04-12-2019,765,1514
05-12-2019,886,1616
06-12-2019,890,1587
07-12-2019,608,1588
08-12-2019,544,1586
09-12-2019,786,1609
10-12-2019,973,1635
11-12-2019,845,1574
12-12-2019,922,1600
13-12-2019,782,1647
14-12-2019,624,1611
15-12-2019,567,1592
16-12-2019,725,1670
17-12-2019,896,1582
18-12-2019,812,1629
19-12-2019,808,1568
20-12-2019,921,1670
21-12-2019,596,1574
22-12-2019,565,1611
23-12-2019,886,1624
24-12-2019,999,1556
25-12-2019,646,1502
26-12-2019,935,1586
27-12-2019,947,1560
28-12-2019,672,1542
29-12-2019,566,1535
30-12-2019,781,1605
31-12-2019,595,1519
01-01-2020,599,1773
02-01-2020,795,1691
03-01-2020,1130,1611
04-01-2020,753,1620
05-01-2020,646,1583
06-01-2020,819,1601
07-01-2020,577,1510
08-01-2020,833,1676
09-01-2020,959,1654
10-01-2020,1034,1660
11-01-2020,722,1607
12-01-2020,590,1559
13-01-2020,807,1608
14-01-2020,936,1607
15-01-2020,971,1637
16-01-2020,932,1600
17-01-2020,950,1563
18-01-2020,650,1639
19-01-2020,599,1583
20-01-2020,905,1648
21-01-2020,988,1647
22-01-2020,954,1719
23-01-2020,963,1650
24-01-2020,999,1556
25-01-2020,646,1502
26-01-2020,935,1586
27-01-2020,947,1560
28-01-2020,960,1605
29-01-2020,927,1650
30-01-2020,887,1613
31-01-2020,914,1515
01-02-2020,674,1718
02-02-2020,653,1737
03-02-2020,819,1637
04-02-2020,980,1588
05-02-2020,886,1620
06-02-2020,844,1587
07-02-2020,859,1606
08-02-2020,636,1601
09-02-2020,522,1572
10-02-2020,803,1676
11-02-2020,864,1727
12-02-2020,856,1649
13-02-2020,778,1631
14-02-2020,984,1676
15-02-2020,624,1617
16-02-2020,574,1554
17-02-2020,735,1730
18-02-2020,880,1638
19-02-2020,821,1660
20-02-2020,920,1562
21-02-2020,899,1554
22-02-2020,570,1600
23-02-2020,500,1597
24-02-2020,724,1684
25-02-2020,963,1670
26-02-2020,789,1615
27-02-2020,836,1583
28-02-2020,825,1583
29-02-2020,453,1488
01-03-2020,569,1663
02-03-2020,734,1606
03-03-2020,886,1659
04-03-2020,829,1592
05-03-2020,863,1576
06-03-2020,864,1572
07-03-2020,599,1542
08-03-2020,527,1576
09-03-2020,598,1583
10-03-2020,780,1715
11-03-2020,909,1632
12-03-2020,904,1559
13-03-2020,773,1506
14-03-2020,577,1511
15-03-2020,515,1398
16-03-2020,690,1517
17-03-2020,854,1536
18-03-2020,793,1547
19-03-2020,746,1588
20-03-2020,853,1583
21-03-2020,538,1550
22-03-2020,470,1502
23-03-2020,742,1570
24-03-2020,816,1591
25-03-2020,861,1509
26-03-2020,775,1593
27-03-2020,775,1605
28-03-2020,537,1553
29-03-2020,518,1478
30-03-2020,693,1603
31-03-2020,767,1530
01-04-2020,716,1614
02-04-2020,848,1503
03-04-2020,850,1508
04-04-2020,622,1533
05-04-2020,506,1587
06-04-2020,684,1563
07-04-2020,778,1468
08-04-2020,837,1550
09-04-2020,802,1582
10-04-2020,920,1489
11-04-2020,565,1559
12-04-2020,568,1498
13-04-2020,718,1495
14-04-2020,895,1460
15-04-2020,898,1493
16-04-2020,915,1515
17-04-2020,730,1620
18-04-2020,633,1521
19-04-2020,535,1607
20-04-2020,593,1550
21-04-2020,811,1521
22-04-2020,971,1466
23-04-2020,936,1593
24-04-2020,930,1553
25-04-2020,712,1560
26-04-2020,614,1627
27-04-2020,785,1482
28-04-2020,982,1476
29-04-2020,936,1565
30-04-2020,903,1512
01-05-2020,719,1626
02-05-2020,587,1552
03-05-2020,614,1556
04-05-2020,801,1510
05-05-2020,1000,1514
06-05-2020,864,1452
07-05-2020,917,1422
08-05-2020,920,1457
09-05-2020,650,1479
10-05-2020,627,1521
11-05-2020,639,1530
12-05-2020,853,1647
13-05-2020,882,1512
14-05-2020,884,1515
15-05-2020,1014,1477
16-05-2020,678,1511
17-05-2020,566,1517
18-05-2020,844,1575
19-05-2020,884,1541
20-05-2020,905,1616
21-05-2020,836,1527
22-05-2020,878,1555
23-05-2020,595,1477
24-05-2020,621,1537
25-05-2020,822,1537
26-05-2020,889,1457
27-05-2020,849,1473
28-05-2020,787,1516
29-05-2020,929,1587
30-05-2020,636,1521
31-05-2020,584,1531
01-06-2020,805,1761
02-06-2020,883,1539
03-06-2020,858,1580
04-06-2020,904,1462
05-06-2020,986,1494
06-06-2020,647,1640
07-06-2020,650,1682
08-06-2020,628,1703
09-06-2020,838,1762
10-06-2020,963,1831
11-06-2020,963,1777
12-06-2020,991,1798
13-06-2020,649,1826
14-06-2020,591,1642
